Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
CNF -> GRU,2025,9,2025-09-01,47,E2,3,93936,1998.6382978723404,325.0276595744681,3382.978723404255,53565.382978723406,67121,2517573,6.203976769489751,2125.593795810103
CNF -> GRU,2025,10,2025-10-01,39,E2,3,73949,1896.128205128205,321.7717948717949,3478.4615384615386,53421.846153846156,66921,2083452,5.906683048142059,1972.970225060957
CNF -> GRU,2025,11,2025-11-01,16,E1,2,30972,1935.75,301.5625,3273.75,48428.0625,54191,774849,6.415403171815907,2128.098248021024
CNF -> GVR,2024,1,2024-01-01,43,ATR,1,17556,408.27906976744185,135.90697674418604,2302.3255813953488,20160.46511627907,21898,866900,3.0042210908492955,640.2778062702
CNF -> GVR,2024,2,2024-02-01,46,ATR,1,19569,425.4130434782609,138.7391304347826,2448.2608695652175,20759.065217391304,22401,954917,3.0719630713315302,628.5086207822051
CNF -> GVR,2024,3,2024-03-01,51,ATR,1,20644,404.7843137254902,131.76470588235293,2277.6470588235293,21041.41176470588,22515,1073112,3.07251584413626,640.0898569789376
CNF -> GVR,2024,4,2024-04-01,66,ATR,1,26889,407.40909090909093,131.3939393939394,2293.6363636363635,20729.909090909092,22128,1368174,3.1024514458240438,640.6469126433443
CNF -> GVR,2024,5,2024-05-01,74,ATR,1,30001,405.4189189189189,131.27027027027026,2292.972972972973,21065.837837837837,22434,1558872,3.090621860836412,637.6298939318582
CNF -> GVR,2024,6,2024-06-01,46,ATR,1,19077,414.7173913043478,132.7173913043478,2313.913043478261,21786.41304347826,22789,1002175,3.1336428662767704,646.8670840372354
CNF -> GVR,2024,7,2024-07-01,61,ATR,1,24803,406.60655737704917,129.2622950819672,2256.3934426229507,21328.60655737705,22623,1301045,3.146685583863992,650.0999625522581
CNF -> GVR,2024,8,2024-08-01,52,ATR,1,21090,405.5769230769231,131.09615384615384,2275.3846153846152,20371.28846153846,22800,1059307,3.0933930557303344,642.2310056282568
CNF -> GVR,2024,9,2024-09-01,45,ATR,1,18053,401.1777777777778,133.44444444444446,2337.3333333333335,19787.466666666667,22793,890436,3.0087170505733094,619.4764707627696
CNF -> GVR,2024,10,2024-10-01,63,ATR,1,24688,391.87301587301585,131.1904761904762,2228.5714285714284,20262.85714285714,22762,1276560,2.985659181981386,634.4261432316152
CNF -> GVR,2024,11,2024-11-01,51,ATR,1,20507,402.0980392156863,131.76470588235293,2254.1176470588234,20306.176470588234,22622,1035615,3.04997038462759,643.4895681060425
CNF -> GVR,2024,12,2024-12-01,49,ATR,1,20129,410.7959183673469,132.69387755102042,2235.918367346939,20991.714285714286,22444,1028594,3.0947285207823727,661.8751527019518
CNF -> GVR,2025,1,2025-01-01,57,ATR,1,22174,389.0175438596491,131.2280701754386,2178.9473684210525,19105.859649122805,21931,1089034,2.9669517127981235,643.8792895591669
CNF -> GVR,2025,2,2025-02-01,45,ATR,1,18825,418.3333333333333,128.51111111111112,2280.0,21141.71111111111,22808,951377,3.254784949149182,660.8994137616982
CNF -> GVR,2025,3,2025-03-01,54,ATR,1,21966,406.77777777777777,129.2037037037037,2246.6666666666665,20875.185185185186,22619,1127260,3.1513277794277537,652.6369431831213
CNF -> GVR,2025,4,2025-04-01,54,ATR,1,21396,396.22222222222223,131.92592592592592,2222.222222222222,20756.25925925926,22683,1120838,3.0048077424682225,642.5907957766487
CNF -> GVR,2025,5,2025-05-01,62,ATR,1,24454,394.4193548387097,128.41935483870967,2190.967741935484,20341.3064516129,22433,1261161,3.070620310431479,650.6400346757215
CNF -> GVR,2025,6,2025-06-01,53,ATR,1,21712,409.66037735849056,131.03773584905662,2220.0,21355.490566037737,22784,1131841,3.1294754162300156,666.3307707913334
CNF -> GVR,2025,7,2025-07-01,70,ATR,1,28005,400.07142857142856,131.0,2177.1428571428573,21168.2,22626,1481774,3.0505807109004666,661.6016384477107
CNF -> GVR,2025,8,2025-08-01,75,ATR,1,29712,396.16,127.26666666666667,2156.0,20689.64,22316,1551723,3.1148387330618563,664.3877076189598
