Route,Recommendation,Months,TotalFlights,AvgPriorityScore,MaxPriorityScore,AvgPassengers,AvgTOW_kg,E2FuelAdvantage,AvgFuelPerNM,EstimatedFuelSavedKg
REC -> VCP,Maintain current aircraft assignment,23,3157,12.887098040210818,18.701958926240422,173.66379303260794,77524.93527301657,0.17417892934797158,6.037349372714639,90368.4706848521
VCP -> LDB,Maintain current aircraft assignment,22,1267,25.640098442271498,47.44373315340207,72.36248811365608,27727.725650257067,0.16747818816830423,4.097040388864401,87968.80610094023
AJU -> VCP,Maintain current aircraft assignment,22,492,17.311398633968,41.7621654467153,133.83161889128306,58227.556540688915,0.19164359968100497,4.95044287131917,85691.99124637469
LDB -> VCP,Maintain current aircraft assignment,22,1270,25.647877702553487,47.34606266579862,69.77746681573689,28476.491502175097,0.17145398560644756,3.9072776780109995,81797.55939163733
POA -> VCP,Maintain current aircraft assignment,19,2762,13.880055919313026,22.69175725913891,129.0789000919951,63789.99545504787,0.1846154462482678,5.644017398026702,81286.46871157232
REC -> CNF,Maintain current aircraft assignment,23,3026,13.537064693603067,21.75315449533091,139.32683320115083,65541.09134325969,0.18181230994732386,5.338777133968895,79927.01504121382
XAP -> VCP,Maintain current aircraft assignment,22,946,16.41268274756336,28.536513165622424,116.57233205309912,53647.25477427024,0.1924463210130858,5.239866652179644,77443.74892706353
CAC -> VCP,Maintain current aircraft assignment,22,886,17.54843620136013,30.153208133243805,107.45472516230274,46785.30402794443,0.21088680222073009,4.961221406581457,77169.1318168476
CNF -> IOS,Maintain current aircraft assignment,19,269,25.341613612580836,47.03387505498296,107.33870137987701,46331.747928438206,0.201436446793788,4.583545543619726,76574.78651063483
RAO -> VCP,Maintain current aircraft assignment,23,2418,16.183691201124024,21.48445824688783,57.29506139958259,21960.809975194923,0.22268712783033298,3.3051938028820413,75479.91454605456
CNF -> IMP,Maintain current aircraft assignment,22,323,19.561859164480158,31.03987672302633,102.88605237231573,54094.30291805268,0.22753419381705137,4.702622417021866,73530.35403307996
REC -> GIG,Maintain current aircraft assignment,23,2283,2.723413535434808,14.207920792079209,152.26235528930505,70208.2651943047,,5.557096423621321,73410.37069355814
REC -> AJU,Maintain current aircraft assignment,23,1609,16.157892967777887,38.135600419590325,53.972547782557086,23128.49394520379,0.15520118346376036,3.110721420625576,70524.22728540462
CGB -> CNF,Maintain current aircraft assignment,22,881,16.2003207675948,29.208706971167533,119.90373554033691,56970.155001626124,0.20262374866475807,4.802570194266197,70138.2294962517
CNF -> CWB,Maintain current aircraft assignment,23,739,16.383389494353313,25.57214822635602,119.00322496377596,52275.413816318054,0.22221889287051214,5.027422421531517,69739.2473015825
CNF -> VCP,Maintain current aircraft assignment,22,2856,15.86952485739893,23.850488035493292,111.60244843487898,54706.004095161334,0.2018600450867692,6.063614333493363,69048.23781240701
VCP -> XAP,Maintain current aircraft assignment,20,705,18.081691393861835,41.38924600766682,121.40191249773318,55803.268554747665,0.19419282769051746,5.991561255060833,67083.24713116809
VCP -> GIG,Maintain current aircraft assignment,23,1599,17.789619395988737,37.245937283095905,105.01317549997873,47857.68543610606,0.2077495103690987,5.968046001507042,67066.64961882234
CNF -> UDI,Maintain current aircraft assignment,23,2171,14.687451019807567,22.33338435250768,62.060372896610396,22457.921442248968,0.18605285977583713,3.0452488830812676,66744.59704036487
GRU -> CNF,Maintain current aircraft assignment,22,1045,21.448193173940837,45.845748257902116,113.46218614798727,51636.87581206721,0.2237796600622153,5.925459267434494,66599.72745471718
