Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
VCP -> CWB,Review smaller aircraft,6,429,-0.3836206896551724,0.09636118406937,0.0
VCP -> SDU,Review smaller aircraft,4,267,-0.44375,0.15008569661668075,0.0
SDU -> VCP,Current seasonal downgauge appears justified,2,133,-0.5791139240506329,-0.06532688378726964,0.0
VCP -> CNF,Current seasonal downgauge appears justified,2,125,-0.5629370629370629,-0.0662532815968405,0.0
VCP -> SDU,Current seasonal downgauge appears justified,2,125,-0.4791666666666667,-0.08304421030330672,0.0
CNF -> VCP,Current seasonal downgauge appears justified,2,92,-0.6567164179104478,-0.0678571116060393,0.0
CNF -> CGH,Review smaller aircraft,1,87,-0.2564102564102564,0.04906616660320112,0.0
CNF -> MOC,Current seasonal downgauge appears justified,1,72,-0.2871287128712871,-0.05836308152175336,0.0
CGH -> CNF,Strong review for smaller aircraft,1,66,-0.5714285714285714,0.022651555206638592,0.0
VIX -> CNF,Review smaller aircraft,1,62,-0.2619047619047619,0.055019325034576586,0.0
CGR -> VCP,Current seasonal downgauge appears justified,1,56,-0.3,-0.06761369869963918,0.0
CWB -> VCP,Strong review for smaller aircraft,1,51,-0.6851851851851852,0.06926796604227532,0.0
AJU -> CNF,Current seasonal downgauge appears justified,3,48,-0.3333333333333333,-0.0831757247498823,0.0
SDU -> VCP,Strong review for smaller aircraft,1,45,-0.7151898734177216,0.16064938149097374,0.0
VCP -> CGR,Current seasonal downgauge appears justified,1,45,-0.27419354838709675,-0.070320574470941,0.0
VCP -> CAC,Review smaller aircraft,2,42,-0.25,0.06654003914017281,0.0
CNF -> SDU,Review smaller aircraft,1,41,-0.4305555555555556,0.09223506772112362,0.0
REC -> SSA,Strong review for smaller aircraft,1,41,-0.5684210526315789,0.0685283572819919,0.0
SDU -> CNF,Strong review for smaller aircraft,1,41,-0.5,0.16486745915762288,0.0
CNF -> NAT,Current seasonal downgauge appears justified,2,39,-0.45833333333333337,-0.05936100496630859,0.0
CNF -> MAB,Current seasonal downgauge appears justified,3,37,-0.3833333333333333,-0.06588268453304517,0.0
SSA -> REC,Strong review for smaller aircraft,1,34,-0.6136363636363636,0.08808689286188852,0.0
CNF -> CKS,Current seasonal downgauge appears justified,3,31,-0.6309523809523809,-0.05801946546641345,0.0
CNF -> GYN,Review smaller aircraft,1,28,-0.36363636363636365,0.050940438467880746,0.0
VCP -> SDU,Strong review for smaller aircraft,1,27,-0.775,0.11215669374380273,0.0
CNF -> CWB,Current seasonal downgauge appears justified,1,26,-0.2571428571428571,-0.05301117851850741,0.0
PNZ -> REC,Review smaller aircraft,1,25,-0.3055555555555556,0.1521733711048159,0.0
VCP -> CWB,Strong review for smaller aircraft,1,24,-0.7931034482758621,0.07828275463921558,0.0
CAC -> VCP,Strong review for smaller aircraft,1,19,-0.525,0.02686023629047622,0.0
VCP -> ROO,Review smaller aircraft,3,17,-0.3703703703703704,0.06411684810711309,0.0
CNF -> SLZ,Current seasonal downgauge appears justified,1,16,-0.2727272727272727,-0.05368129909748386,0.0
CNF -> FLN,Current seasonal downgauge appears justified,1,15,-0.4,-0.0653027559847112,0.0
MVF -> REC,Current seasonal downgauge appears justified,2,15,-0.6428571428571428,-0.09586261910478636,0.0
CNF -> PMW,Review smaller aircraft,2,14,-0.4166666666666667,0.06690368455074336,0.0
IOS -> CNF,Current seasonal downgauge appears justified,1,14,-0.5882352941176471,-0.059467815783144404,0.0
JDO -> VCP,Current seasonal downgauge appears justified,1,14,-0.2631578947368421,-0.06221373789164392,0.0
VCP -> PMG,Review smaller aircraft,2,14,-0.36363636363636365,0.06301584044247703,0.0
AQA -> VCP,Maintain current assignment,1,12,0.0,0.0,0.0
CNF -> SDU,Strong review for smaller aircraft,1,12,-0.8333333333333334,0.13596167740381718,0.0
VCP -> AQA,Maintain current assignment,1,12,0.0,0.0,0.0
