Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTowRegime,TroughMonthTowRegime,PeakMonthRegimeRank,TroughMonthRegimeRank,MaxRegimeRankShift,MinRegimeRankShift,MaxAvgTOW_kg,MinAvgTOW_kg,DeltaAvgTOW_kg,VolatilityScore
REC -> GIG,23,2283,99.26086956521739,21.195195089831806,0.21353021772498096,2024-07-01,142,2025-11-01,35,107,4.057142857142857,0.16458130987068886,68058.9014084507,69583.22857142857,A320,A320,3,3,0.0,0.0,71992.90476190476,68058.9014084507,3934.003353454056,17.08195723856539
GYN -> CNF,23,1943,84.47826086956522,20.5105901918717,0.242791340408157,2024-10-01,116,2025-11-01,30,86,3.8666666666666667,0.18407214303296116,47757.1724137931,49825.0,Nearest: E1,E2,1,2,0.0,-1.0,52409.21052631579,46440.89887640449,5968.311649911295,17.049901392309224
CGR -> VCP,23,1738,75.56521739130434,18.502235086972885,0.24485121231322002,2024-08-01,110,2025-11-01,23,87,4.782608695652174,0.1824185720718467,54958.24545454545,54334.52173913043,E2,E2,2,2,0.0,0.0,58848.55421686747,49683.51612903226,9165.038087835215,17.039731156714794
GIG -> REC,23,2280,99.1304347826087,20.822864414380163,0.2100552111976946,2024-07-01,147,2025-11-01,37,110,3.972972972972973,0.15400457665903888,64456.73469387755,64650.16216216216,A320,A320,3,3,0.0,0.0,67346.55172413793,63595.98,3750.5717241379243,17.035009746220194
CNF -> BPS,23,1393,60.56521739130435,17.807731801362653,0.2940257224919892,2025-10-01,95,2025-11-01,31,64,3.064516129032258,0.23371515964917758,60482.58947368421,58966.967741935485,Nearest: A320,Nearest: E2,3,2,1.0,-1.0,65199.4126984127,47263.5,17935.9126984127,17.029811287650407
THE -> REC,23,751,32.65217391304348,12.199817160611994,0.3736295535207402,2024-10-01,54,2025-11-01,7,47,7.714285714285714,0.3360157471197824,55194.2962962963,46327.71428571428,Nearest: E2,Nearest: E1,2,1,1.0,-1.0,63585.52173913043,46327.71428571428,17257.80745341615,16.963974634302048
REC -> VCP,23,3157,137.2608695652174,26.037126321273306,0.1896908157710757,2025-07-01,174,2025-11-01,51,123,3.411764705882353,0.139758438804038,77835.49425287357,78358.70588235294,A321,A321,4,4,0.0,-1.0,80431.25,71758.6524822695,8672.597517730494,16.95155882245257
REC -> GYN,23,1319,57.34782608695652,15.763493035028956,0.27487516285494007,2025-09-01,86,2024-03-01,15,71,5.733333333333333,0.21307314500444996,68841.6511627907,70093.06666666667,A320,A320,3,3,0.0,0.0,70562.0945945946,66262.61224489796,4299.482349696642,16.64235718884713
VCP -> ARU,23,728,31.652173913043477,11.521657095688267,0.36400839725388756,2024-03-01,56,2025-11-01,8,48,7.0,0.29252269469660774,20205.928571428572,21780.0,ATR,ATR,0,0,0.0,0.0,24962.714285714286,20205.928571428572,4756.785714285714,16.623701198074283
VCP -> UBA,16,278,17.375,9.636356936104017,0.5546104711426773,2024-10-01,28,2024-04-01,1,27,28.0,0.46223021582733814,20628.928571428572,44289.0,ATR,E1,0,1,1.0,0.0,44289.0,19355.5,24933.5,16.22825442068536
BSB -> VCP,23,2461,107.0,22.751970769870542,0.21263524083991162,2024-07-01,138,2025-11-01,43,95,3.2093023255813953,0.16253555465258024,53686.884057971016,53749.58139534884,E2,E2,2,2,0.0,0.0,54170.825,48596.93023255814,5573.89476744186,16.183684903475044
VCP -> MII,23,632,27.47826086956522,10.594787747293852,0.38556980725911166,2024-06-01,50,2025-11-01,8,42,6.25,0.30283434232250966,20091.92,20286.375,ATR,ATR,0,0,0.0,0.0,20668.03448275862,19274.21052631579,1393.8239564428295,16.118293206257313
GYN -> REC,23,1302,56.608695652173914,15.849123224782149,0.2799768311597461,2025-09-01,82,2024-03-01,18,64,4.555555555555555,0.22320176317371265,64804.18292682927,67097.72222222222,A320,A320,3,3,0.0,0.0,67097.72222222222,62955.0,4142.722222222219,16.06490163868557
VCP -> XAP,23,842,36.608695652173914,12.747511710934642,0.3482099398473833,2024-08-01,60,2025-11-01,14,46,4.285714285714286,0.29195497263244863,61660.13333333333,53002.357142857145,A320,E2,3,2,1.0,-1.0,65285.69387755102,48010.392857142855,17275.301020408166,15.910524523529382
BSB -> CNF,23,1644,71.47826086956522,17.12833798688059,0.2396300326631713,2024-10-01,105,2025-11-01,25,80,4.2,0.18285200465460702,49191.79047619048,50852.88,E2,E2,2,2,0.0,-1.0,50855.234375,46860.5625,3994.671875,15.872318601366223
VCP -> NVT,23,1507,65.52173913043478,17.589200157847333,0.2684483103055665,2025-09-01,99,2025-11-01,34,65,2.911764705882353,0.22532529355760073,46586.71717171717,46251.5,Nearest: E1,E1,1,1,0.0,-1.0,53549.6724137931,45664.8969072165,7884.775506576603,15.839511264520004
