Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,MaxTOW_kg,MinTOW_kg,TotalTOW_kg,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgFuelPerNM,AvgFuelPerHour,FuelPerFlightKg,TowRegime,TowRegimeRank,RegimeDistanceKg,MedianMonthlyFlights,AvgMonthlyFlights,StdMonthlyFlights,MedianRouteAvgTOW_kg,MedianTowRegimeRank,MedianRouteFuelPerNM,FlightsAboveMedian,FlightsPctVsMedian,AvgTOWAboveMedian_kg,AvgTOWPctVsMedian,RegimeRankShiftVsMedian,FuelPerNMPctVsRouteMedian
REC -> GYN,2025,5,2025-05-01,66,A320,1,67938.78787878787,69124.5,72149,60890,4483960,365877,5543.590909090909,1008.6984848484849,8935.454545454546,5.494891252203731,2234.6371207476723,5543.590909090909,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,10.0,0.17857142857142858,-253.51569264069258,-0.0037176584359721117,0.0,0.022597865839497754
REC -> GYN,2025,6,2025-06-01,69,A320,2,67393.15942028986,67819.0,73449,61003,4650128,375803,5446.420289855072,1006.6739130434783,8968.695652173914,5.4092011310534565,2187.338746337375,5446.420289855072,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,13.0,0.23214285714285715,-799.1441511387093,-0.011718978671861986,0.0,0.0066509560664142885
REC -> GYN,2025,7,2025-07-01,65,A320,1,69573.52307692308,69993.0,73304,64539,4522279,364494,5607.6,1004.3507692307693,9042.461538461539,5.583179056607415,2233.2225817374506,5607.6,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,9.0,0.16071428571428573,1381.2195054945187,0.020254771186131722,0.0,0.0390282038059961
REC -> GYN,2025,8,2025-08-01,74,A320,1,67846.63513513513,67751.0,72277,61710,5020651,402170,5434.72972972973,1004.8121621621623,8880.81081081081,5.408623603480938,2204.1241606210815,5434.72972972973,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,18.0,0.32142857142857145,-345.668436293432,-0.005069024188798064,0.0,0.006543478331912378
REC -> GYN,2025,9,2025-09-01,86,A320,1,68841.6511627907,69783.5,72090,62227,5920382,472421,5493.267441860465,1007.082558139535,8938.60465116279,5.454010619043206,2214.1653923246777,5493.267441860465,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,30.0,0.5357142857142857,649.3475913621369,0.009522300279561207,0.0,0.014989990395674542
REC -> GYN,2025,10,2025-10-01,79,A320,1,67459.17721518988,67180.0,72818,58595,5329275,424539,5373.911392405063,1005.381012658228,8835.189873417721,5.344405976946636,2189.616938696504,5373.911392405063,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,23.0,0.4107142857142857,-733.1263562386885,-0.010750866561807368,0.0,-0.005407405649079705
REC -> GYN,2025,11,2025-11-01,33,A320,1,68905.75757575757,69805.0,72186,59679,2273890,179389,5436.030303030303,1005.2181818181817,8772.727272727272,5.407770732981346,2231.450626334962,5436.030303030303,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-23.0,-0.4107142857142857,713.4540043290035,0.01046238309843413,0.0,0.006384759348644045
REC -> IGU,2024,1,2024-01-01,3,E2,1,58811.666666666664,59394.0,59638,57403,176435,21534,7178.0,1602.2666666666667,13920.0,4.468335900493624,1851.5685735660825,7178.0,Nearest: E2,2,6066.666666666664,3.0,4.4,2.9664793948382653,65602.33333333333,3.0,5.045163651759914,0.0,0.0,-6790.666666666664,-0.10351257831276324,-1.0,-0.11433281278498744
REC -> IGU,2024,12,2024-12-01,3,A320,1,65602.33333333333,65502.0,65881,65424,196807,23771,7923.666666666667,1570.8333333333333,14160.0,5.045163651759914,2014.9634408720042,7923.666666666667,A320,3,0.0,3.0,4.4,2.9664793948382653,65602.33333333333,3.0,5.045163651759914,0.0,0.0,0.0,0.0,0.0,0.0
REC -> IGU,2025,1,2025-01-01,8,A320,1,69005.875,69473.5,70528,63945,552047,65156,8144.5,1568.6,13755.0,5.193083878834769,2132.6899583838645,8144.5,A320,3,0.0,3.0,4.4,2.9664793948382653,65602.33333333333,3.0,5.045163651759914,5.0,1.6666666666666667,3403.5416666666715,0.051881411738403695,0.0,0.02931921287097509
