Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
VIX -> CNF,23,2,Outside Normal Regimes,E1,43080.08928571428,47915.90909090909,4835.819805194806
FLN -> REC,5,2,Outside Normal Regimes,E2,53963.0,58732.27272727273,4769.272727272728
VCP -> ARU,23,2,ATR,ATR,20205.928571428572,24962.714285714286,4756.785714285714
VCP -> PDP,4,2,E2,E2,51012.5,55757.75,4745.25
CAU -> REC,7,2,ATR,Outside Normal Regimes,16397.0,21099.0,4702.0
CNF -> MAO,18,3,Outside Normal Regimes,A320,68615.125,73250.78571428571,4635.66071428571
PMW -> REC,2,2,A320,Outside Normal Regimes,60956.2,65546.6,4590.400000000009
CNF -> BSB,23,2,Outside Normal Regimes,E2,47794.12903225807,52286.83870967742,4492.709677419349
CNF -> VIX,23,2,E1,E1,42680.09459459459,47093.51388888889,4413.419294294297
MAO -> CNF,18,2,A320,Outside Normal Regimes,67475.38461538461,71680.27272727272,4204.888111888111
UDI -> CNF,23,2,ATR,Outside Normal Regimes,20472.632183908045,24565.583333333332,4092.9511494252874
CNF -> MVD,2,2,Outside Normal Regimes,E2,54079.0,58140.0,4061.0
CNF -> SJP,16,2,ATR,Outside Normal Regimes,21086.25,25139.714285714286,4053.4642857142862
BSB -> CNF,23,2,Outside Normal Regimes,E2,46860.5625,50855.234375,3994.671875
VCP -> RAO,23,2,ATR,Outside Normal Regimes,20794.123809523808,24764.04132231405,3969.9175127902417
REC -> GIG,23,2,Outside Normal Regimes,A320,68058.9014084507,71992.90476190476,3934.003353454056
RAO -> VCP,23,2,Outside Normal Regimes,ATR,20538.565891472866,24439.5,3900.9341085271335
ARU -> VCP,23,2,Outside Normal Regimes,ATR,19230.2,23072.904761904763,3842.7047619047626
CNF -> SSA,23,2,Outside Normal Regimes,Outside Normal Regimes,59078.692307692305,62799.17204301075,3720.4797353184476
CNF -> STM,4,2,A320,Outside Normal Regimes,58672.625,62332.0,3659.375
VCP -> JPR,9,2,E2,Outside Normal Regimes,54408.8,58024.42857142857,3615.6285714285696
CNF -> CLV,16,2,ATR,ATR,20823.166666666668,24351.0,3527.833333333332
CLV -> CNF,16,2,ATR,ATR,19816.333333333332,23227.833333333332,3411.5
JTC -> VCP,23,2,ATR,ATR,19157.06557377049,22545.090909090908,3388.025335320417
BRC -> VCP,5,3,Outside Normal Regimes,A320,69619.15789473684,72966.0,3346.84210526316
SJP -> VCP,23,2,ATR,Outside Normal Regimes,19926.5564516129,23179.058823529413,3252.502371916511
REC -> CGR,2,2,A320,Outside Normal Regimes,69089.25,72340.5,3251.25
CNF -> PVH,23,3,A321,A321,70768.41176470589,74019.21739130435,3250.8056265984633
MVF -> REC,15,2,ATR,Outside Normal Regimes,18577.272727272728,21729.272727272728,3152.0
VCP -> JTC,23,2,ATR,ATR,19495.24193548387,22563.083333333332,3067.841397849461
CNF -> UBA,23,2,ATR,Outside Normal Regimes,20699.130434782608,23765.454545454544,3066.324110671936
NSR -> REC,15,2,ATR,ATR,18595.7,21594.0,2998.2999999999993
VCP -> SOD,3,2,E1,Outside Normal Regimes,39142.0,42030.0,2888.0
VCP -> SJP,23,2,ATR,Outside Normal Regimes,20699.094339622643,23579.96,2880.865660377356
CNF -> UDI,23,2,ATR,Outside Normal Regimes,21227.440476190477,24086.61111111111,2859.1706349206324
CNF -> RBR,15,2,A321,A321,71582.95833333333,74376.14285714286,2793.1845238095266
AAX -> CNF,18,2,ATR,Outside Normal Regimes,18466.125,21235.0,2768.875
OAL -> VCP,9,2,E2,Outside Normal Regimes,53136.857142857145,55885.333333333336,2748.476190476191
REC -> PPB,6,2,A320,A320,69017.25,71701.33333333333,2684.0833333333285
GEL -> VCP,11,2,ATR,ATR,19940.75,22516.0,2575.25
VCP -> PGZ,15,2,ATR,Outside Normal Regimes,18637.571428571428,21177.166666666668,2539.5952380952403
UBA -> CNF,23,2,ATR,Outside Normal Regimes,20262.272727272728,22697.18181818182,2434.909090909092
PAV -> REC,6,2,ATR,ATR,18673.777777777777,21081.833333333332,2408.0555555555547
CNF -> MOC,23,2,ATR,ATR,20091.23611111111,22491.14563106796,2399.909519956851
CAW -> VCP,15,2,ATR,ATR,18561.24,20748.36,2187.119999999999
TJL -> VCP,15,2,ATR,Outside Normal Regimes,18392.0,20509.941176470587,2117.9411764705874
PGZ -> VCP,15,2,ATR,Outside Normal Regimes,17838.428571428572,19948.090909090908,2109.6623376623356
GPB -> VCP,15,2,ATR,Outside Normal Regimes,18772.333333333332,20753.909090909092,1981.5757575757598
REC -> MVF,15,2,ATR,ATR,20538.333333333332,22377.190476190477,1838.857142857145
RIA -> VCP,16,2,ATR,ATR,20806.636363636364,22582.2,1775.5636363636368
CNF -> GNM,23,2,ATR,ATR,20637.869565217392,22345.0,1707.130434782608
CNF -> LEC,14,2,Outside Normal Regimes,ATR,20973.285714285714,22645.0,1671.7142857142862
VCP -> IZA,23,2,ATR,ATR,21081.404761904763,22611.8125,1530.4077380952367
REC -> PVH,3,2,Outside Normal Regimes,A321,72479.6,73865.0,1385.3999999999942
VCP -> RIA,16,2,Outside Normal Regimes,Outside Normal Regimes,21613.416666666668,22950.7,1337.2833333333328
MII -> VCP,23,2,ATR,ATR,18945.428571428572,20238.9,1293.471428571429
CNF -> BRA,23,2,ATR,Outside Normal Regimes,21457.88888888889,22595.60714285714,1137.7182539682508
FEC -> REC,6,2,ATR,ATR,18835.0,19616.4,781.4000000000015
VCP -> GEL,11,2,ATR,ATR,22134.125,22814.85714285714,680.7321428571413
